geoid,name,land_area,total,airport,cement,cmv,commercial,elec_prod,industrial,nonroad,onroad,rail,residential
11026,"Brunswick, GA",112174357,150333,817,0,9659,5692,32518,7817,5815,83623,222,4166
11040,"Brunswick, ME",63711326,80281,0,0,0,13324,17,6318,4170,41584,197,14667
11053,"Brunswick, MD--VA",17249873,8680,0,0,0,592,0,130,720,5491,518,1228
11080,"Brush, CO",6246877,6924,12,0,0,322,0,1214,261,3430,493,1189
11107,"Bryan, OH",16285663,37763,0,0,0,1932,332,13831,1871,15168,1041,3586
11134,"Buckeye, AZ",27065962,18961,0,0,0,434,0,2149,2199,13669,95,414
11161,"Buckhannon, WV",16023291,13020,0,0,0,3801,0,1562,509,5465,18,1662
11175,"Buckhead (Bryan County), GA",20209278,5160,0,0,0,37,0,8,346,4729,0,37
11188,"Buckner, MO",6130524,3372,0,0,0,242,0,8,301,1518,556,744
11215,"Bucyrus, OH",15908246,29923,12,0,0,1577,0,8486,1127,13227,715,4776
11242,"Buena Vista, CO",9984585,5575,0,0,0,1705,0,0,286,2926,0,656
11269,"Buena Vista, VA",8776873,5865,0,0,0,429,0,389,194,3735,126,988
11296,"Buffalo, MN",21542181,25528,0,0,0,2888,0,2086,1900,13865,515,4270
11323,"Buffalo, MO",5509665,10579,218,0,0,116,0,10,78,10041,0,112
11350,"Buffalo, NY",984093627,2730576,75291,0,688,328942,162139,417001,121561,973188,29649,622113
11377,"Buffalo, WY",6092463,7626,0,0,0,404,0,0,112,6842,0,265
11404,"Buhl, ID",4037573,5086,0,0,0,530,0,1620,344,1936,18,635
11415,"Buies Creek, NC",9611161,2162,0,0,0,52,0,23,87,1898,0,100
11431,"Bullhead City, AZ--NV",75212262,60239,7215,0,0,5185,0,13,4699,39214,0,3910
11512,"Bunkie, LA",5733437,4923,22,0,0,351,0,1864,138,2061,169,315
11539,"Buras, LA",23494952,31782,593,0,21262,390,1753,2738,330,4207,0,506
11566,"Burgaw, NC",6407467,1153,0,0,0,338,0,71,125,532,0,84
11575,"Burgettstown, PA",6326561,3869,0,0,0,237,0,64,132,2565,0,868
11593,"Burkburnett, TX",13431549,8694,0,0,0,645,0,1076,576,5265,14,1115
11620,"Burley, ID",25021905,34831,5233,0,0,2609,0,1686,835,22683,225,1557
11647,"Burlington, CO",3831480,6879,0,0,0,351,0,0,188,5184,4,1151
11674,"Burlington, IA--IL",40254872,70097,0,0,3,10890,0,23446,4973,15371,3139,12272
11701,"Burlington, KS",4165063,2515,0,0,0,81,0,50,63,2207,0,111
11728,"Burlington, NC",234202344,288170,15566,0,0,14836,281,17098,17851,195040,1861,25634
11755,"Burlington, VT",159961171,349320,15012,0,8,106301,743,24400,17368,128447,184,56853
11782,"Burlington, WI",33800444,33161,13,0,0,6414,0,782,2301,16050,654,6944
11809,"Burnet, TX",10062766,9263,5898,0,0,341,0,232,312,2353,5,120
11836,"Burney, CA",5336007,4035,31,0,0,536,0,99,50,3097,0,218
11863,"Burns, OR",6466425,4363,0,0,0,54,0,16,18,4228,0,45
11872,"Burnt Store Marina, FL",8149886,3803,0,0,0,79,0,5,799,2911,0,6
