country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Kingdom,9360,9360,9360,9370,9370,10k,10k,10k,10k,10k,11k,11k,11k,11k,11k,12.3k,12.3k,12.3k,12.3k,12.3k,13.6k,13.6k,13.6k,13.6k,13.6k,15k,15.1k,15.1k,15.1k,15.1k,16.9k,16.9k,16.9k,16.9k,16.9k,19.2k,19.2k,19.2k,19.2k,19.2k,21.4k,21.4k,21.4k,21.5k,21.5k,22.4k,23.6k,24.5k,25.8k,26.7k,26.7k,26.9k,30.2k,30.4k,31.5k,33.3k,33.3k,33.3k,33.3k,33.3k,35.6k,37k,37.4k,38.1k,39k,41.5k,42k,42.1k,42.4k,42.6k,42.9k,44.6k,46.9k,49.1k,49.6k,50.2k,52.3k,52.6k,53.4k,67.9k,65.8k,65.6k,65.5k,65.6k,65.3k,76.5k,73.8k,75.9k,77.8k,81k,81.9k,85.4k,89.2k,93.5k,100k,95.8k,104k,109k,116k,123k,117k,116k,116k,139k,131k,140k,138k,135k,150k,168k,175k,170k,180k,194k,206k,212k,218k,213k,224k,229k,242k,255k,265k,257k,272k,271k,276k,271k,273k,297k,313k,315k,328k,319k,316k,313k,321k,333k,345k,353k,361k,353k,316k,362k,366k,376k,386k,387k,415k,420k,411k,427k,430k,432k,438k,454k,474k,462k,466k,470k,482k,456k,499k,484k,490k,507k,502k,467k,457k,470k,320k,429k,455k,476k,450k,247k,467k,438k,461k,441k,413k,396k,392k,424k,429k,454k,469k,449k,453k,476k,470k,469k,455k,442k,418k,437k,462k,476k,486k,501k,545k,529k,541k,553k,577k,574k,571k,556k,547k,584k,589k,593k,604k,608k,623k,619k,593k,607k,629k,653k,661k,649k,660k,618k,604k,599k,605k,605k,645k,580k,561k,549k,546k,530k,560k,569k,572k,571k,582k,601k,609k,594k,580k,576k,567k,589k,563k,568k,561k,568k,576k,561k,572k,573k,570k,568k,559k,545k,494k,512k,470k,488k,478k,439k,423k,400k,388k,379k
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0841,0.101,0.0673,0.0841,,,,,,,,,,,,,,,,,0.521,,,,,1.58,,,2.22,2.36,3.11,3.95,3.57,3.73,4.19,4,12.7,14.5,12.1,16.4,17.8,24,24.6,23.1,28.1,32.3,40.1,40.9,53.5,54.9,64.4,67.8,71.5,81.3,82.6,89.9,92.3,97.6,102,110,125,137,145,170,173,199,203,234,263,305,345,355,342,335,373,333,379,425,428,451,443,459,520,565,510,468,499,459,183,156,143,155,189,208,248,245,355,441,490,528,718,862,971,1090,1310,1490,1700,1740,1840,1860,2230,1960,1350,1720,1610,1710,1920,2310,2460,2800,3120,3380,3620,3830,4180,4740,5200,5690,6070,10.6k,11k,11.4k,12k,12.8k,13.6k,14.5k,15.3k,16k,16.4k,17.1k,18k,19.1k,20.1k,21k,21.8k,22.9k,23.8k,24.6k,25.5k,25.7k,26.7k,26.2k,26.7k,27k,27.3k,29.4k,29.5k,29.3k,30.1k,29.5k,27.5k,21.4k,15.3k,9920,6070,2290,4060,4430,4940,4310,4500,3740,3350,3740,4280,5020,6100,6370,5310,6140,6210,7810,8260,8020,8790,9590,9920,10.7k,10.6k
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,876,869,1020,1000,1190,1080,1290,1360,1320,1460,1350,1430,1720,1650,1710,1440,1500,1760,1690,2620,2290,2420,2470,2940,2740,2430,2990,2960,2650,2550,3030,3030,3640,2570,3300,3030,3270,3410,3300,3790,4210,3660,4310,5090,5160,5470,6210,6250,6370,6110,6740,7240,7440,7160,6810,9170,9630,8930,7500,9720,11.2k,14.3k,14.2k,14.8k,16.1k,16.2k,17.7k,18.3k
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,103,73.3,66,55,58.7,51.3,51.3,55,47.7,47.7,51.3,55,55,55,47.7,55,62.3,66,66,69.7,80.7,73.3,84.3,77,88,77,77,69.7,91.7,88,51.3,22,36.7,33,44,40.3,47.7,69.7,69.7,143,198,235,238,282,275,282,293,308,319,334,345,348,356,385,400,418,414,425,462,466,451,462,491,528,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,158,411,616,660,697,700,697,719,726,748,748,792,814,832,803,840,843,887,902,902,946,964,990,983,953,979,994,997,994,1030,1050,1000,1030,1060,1090,1130,1170,1240,1290,1360,1430,1490,1560,1620,1700,1760,1830,1890,1970,2000,2110,2490,2600,2420,2110,2170,2450,2750,3060,3180
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,66,66,66,73.3,80.7,91.7,110,110,143,158,176,187,205,216,205,253,290,279,312,304,341,378,407,385,403,495,524,528,539,627,788,763,814,876,891,950,1010,1130,1190,1280,1290,1340,1380,1420,1460,1550,1610,2070,1890,1910,2080,2110,2230,2310,2220,2160,2330,2290,2310,2300,2430,2540,2560,2570,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,11,11,14.7,14.7,18.3,22,25.7,18.3,18.3,22,25.7,29.3,29.3,29.3,33,33,36.7,47.7,47.7,55,66,62.3,62.3,99,99,114,139,147,158,158,161,161,172,172,161,180,183,180,198,198,198,209,209,216,220,224,242,275,275,301,301,301,323,326,352,352,367,381,433,447,455,433,513,524,532,588,611
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.67,11,7.33,7.33,11,11,11,11,14.7,18.3,29.3,40.3,47.7,58.7,66,66,47.7,62.3,58.7,69.7,73.3,66,110,103,114,95.3,103,103,110,147,143,143,143,161,172,183,194,216,231,172,176,180,183,183,183,183,202,172,194,147,150,154,194,202,213,216,231,227,235,238,246,253,257,271,279,293,327,340
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,29.3,36.7,36.7,33,47.7,47.7,22,22,22,25.7,25.7,29.3,25.7,25.7,29.3,44,36.7,66,88,29.3,51.3,62.3,62.3,62.3,69.7,62.3,58.7,69.7,73.3,62.3,80.7,66,80.7,99,106,117,62.3,66,66,69.7,77,84.3,128,304,183,488,458,4330,6350,7690,7060,7530,8180,7870,6430,6780,6890,9400,6990,7700,7310,6030,5650,5730,5690
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,84.3,194,202,297,176,194,150,165,,,,3.67,,,,3.67,,,,,3.67,,,,370,326,334,312,374,363,462,242,418,418,334,400,356,279,260,429,730,561,719,906,,1340,11,22,66,91.7,125,106,678,744,678,920,1300,1980,1820,2320,2380,2710,2860,2730,2680,2300,2830,2920,3370,3590,2850,253,238,136,227,213,110,66,125,169,1350,1640,4130,4580,4800,4890,5090,5960,6300,6820,7460,8130,9400,9820,10.2k,12.2k,13.2k,17k,18.6k,19.5k,22.3k,25.5k,24.1k,27.8k,31.5k,37.2k,36.1k,38.7k,42.7k,46.7k,47.7k,50.9k,50.9k,50.2k,51.6k,54.8k,56.3k,59.8k,58.3k,62.6k,67.1k,73.3k,83.4k,83.4k,85k,84.3k,86.5k,87k,89.2k,93.9k,98.7k,98k,103k,105k,105k,109k,110k,114k,113k,115k,111k,104k,97.4k,94.6k,91.5k,81.8k,78.7k,75k,71.4k,74.9k,73.9k
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,11,11,11,11,11,11,14.7,14.7,22,18.3,25.7,14.7,22,22,29.3,36.7,40.3,47.7,44,47.7,47.7,55,36.7,47.7,47.7,47.7,51.3,47.7,47.7,58.7,62.3,62.3,62.3,62.3,66,73.3,95.3,103,106,110,117,121,143,150,154,169,176,194,191,194,205,216,205,216,231,238,253,253,260,253,271,304,235,260,268,267,271
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,106,121,103,209,143,161,227,235,224,293,264,330,315,345,389,418,543,407,381,469,554,557,557,506,220,722,392,572,565,528,517,363,568,510,326,235,546,473,348,348,326,323,297,323,363,385,359,374,455,407,378,429,583,609,627,638,660,576,664,708,568,554,506,510,510,524,512
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,14.7,14.7,14.7,14.7,18.3,620,638,645,682,744,917,979,986,1130,1240,1350,1410,1380,1520,1770,1980,1740,1980,2140,2280,2300,2440,2710,2940,3070,3520,3310,3810,4120,4680,4500,3950,3610,3160,3400,3500,3670,3920,4080,4190,4970,4960,5920,5580,6760,7090,6580,7510,8650,8810,9770,10.2k,10.7k,10.5k,11.2k,12.1k,12.2k,12.2k,10.9k,11.5k,11.1k,11.2k,11.6k,12.6k,13.6k,15.4k,16.4k,16.2k,18.4k
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,11,11,14.7,14.7,14.7,14.7,18.3,22,22,22,22,25.7,29.3,36.7,44,69.7,84.3,84.3,103,103,103,117,103,117,275,341,330,546,374,326,363,385,356,367,367,418,517,671,631,667,704,700,616,583,488,469,612,466,466,510,458,601,572,554,473,565,557,590,638,642,590,631,733,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,286,337,451,473,517,550,535,458,554,660,737,678,616,649,1080,1180,1320,1330,1370,1580,1500,1560,1800,1550,1830,1750,1900,2060,1520,1790,1800,1400,1250,1400,1420,1050,1310,1400,1180,1140,1120,1050,1050,1390,1460,1520,1590,1660,1680,1610,1600,1580,1570,1630,1440,1290,1560,1560,1570,1720,1780,1990,1940,2010,2010,2340,2350,2430
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,,55,,,,,,18.3,25.7,29.3,1320,1560,1540,1730,1800,1880,2120,2370,2380,2710,2960,3370,3680,4250,4220,4810,5170,6060,6200,7760,8400,9160,9280,9290,10.7k,11k,12.5k,14.2k,15.7k,15.9k,16.6k,18.6k,19.6k,20.9k,22.2k,22.9k,25.5k,28.1k,29.3k,30.2k,27.2k,28.5k,32.9k,34.8k,31.1k,31.3k,28.9k,30.5k,39k,42.6k,40.3k,37.8k,39.5k,43.2k,41.6k,43.8k,41.9k,43.6k,42.8k,41.6k,40.1k,43.2k,42.8k,44.3k,45.5k,42.4k,43.4k,43.2k,43.2k
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,348,359,334,378,436,455,576,587,587,616,737,700,711,722,751,806,876,1220,1180,1390,1330,1540,1510,1560,1670,1780,2000,2050,1930,2050,1810,1750,1980,1970,1890,1830,2150,2470,2690,2550,2650,3030,2800,3290,3830,3890,4080,4590,4670,4940,5610,6000,6670,7250,7430,7470,8610,8490,7690,7940,8620,8970,9230,9320,9830,9620,9590,9920
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,5720,6000,6160,6850,7760,7980,7910,7990,8550,8860,11.6k,12.5k,11.7k,14k,14k,14.6k,15.1k,14.7k,16.4k,17.8k,17.5k,19.1k,17.5k,18.9k,19.9k,20.3k,21.2k,20.7k,21.4k,21.3k,23.4k,17.2k,16.5k,17k,16.2k,16.9k,17.5k,18.6k,19.3k,20.1k,19.7k,20.8k,21.9k,23.3k,22.9k,23.4k,23.6k,24.9k,23.7k,21.9k,21.1k,20.7k,19.1k,18.5k,17.7k,17.9k,18.1k,18.7k,18.6k
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,132,147,158,216,268,264,253,275,253,286,297,304,249,300,304,304,260,264,315,385,403,392,421,472,483,673,705,751,751,746,760,818,887,904,930,831,900,1010,1020,995,977,889,686,183,876,1020,1350,1230,1310,1340,1550,1800,1710,1960,2050,2090,2360,2370,2240,2100,2090,2190,2300,2790,2910,2960,2980,3000
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,69.7,88,66,69.7,51.3,84.3,69.7,62.3,139,136,143,84.3,88,187,88,62.3,165,0,0,0,275,345,345,436,455,477,546,381,770,906,961,1160,1210,1210,1260,1430,1690,1810,1970,2120,2630,2800,2920,2560,2640,2760,2890,2880,2870,3310,3550,3590,4080,4330,4380,4100,4090,4430,4760,5260,5530,5760,6000,6440,6870,7380,7470,8540,8280,9590,9630,8860,9180,9280,9440,10.2k,10.2k,10.8k,11.9k,11.7k,12k,12.3k,13k,11.6k,11.8k,11.8k,11.7k,10.7k,4760,5590,9240,11k,11.9k,11.3k,10.1k,11.8k,13.1k,13.8k,15.1k,12.5k,11.2k,10.2k,10k,10.6k,11.1k,11.9k,13.6k,14.8k,14.5k,15.8k,17.9k,18.9k,19.2k,15.9k,8210,10.8k,13.9k,16.4k,20.4k,18.4k,22.2k,27.2k,31.8k,34k,35.7k,33.2k,38.5k,39.3k,41.9k,45.4k,49k,50.6k,56.3k,62.4k,61.3k,61.7k,58.8k,61.1k,62.4k,70k,69.3k,69.4k,73k,74.1k,75.3k,80k,83.1k,88.1k,86.2k,86.8k,86.5k,86.8k,89k,90.8k,86k,83.3k,84.2k,78.1k,76k,73.5k,69.8k,62.5k,63.6k,61.9k,61.7k,63.2k,61.8k,61.4k,61.9k,58.6k,60.2k,59.2k,62k,60.5k,60.6k,59.9k,58.6k,57.5k,51.8k,52.2k,50.4k,46.9k,43.8k,44k,46.7k,47.5k,49.7k,49.9k
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,14.7,22,180,403,480,770,862,1110,1290,1130,1210,2240,1540,3000,3370,4140,4460,5300,5500,5990,6120,6730,5850,5900,6020,6040,6770,7140,7140,7640,8270,8760,8310,9600,10.6k,11.1k,11.1k,12.9k,14.8k,18.6k,18.1k,16.9k,16.6k,17.9k,19.3k,20k,21.8k,25.4k,26.8k,29.2k,28.8k,26.5k,9460,19k,8780,3810,1350,4060,15.5k,21.9k,9840,9400,12.7k,13.1k,14.8k,20.9k,21.8k,22.4k,22.2k,23.9k,21.4k,26k,23k,22.8k,22.4k,24.7k,23.4k,24.6k,27.6k,33.4k,35.8k,39k,43.3k,49.1k,51.3k,54k,61.8k,82.5k,94k,95.2k,95k,100k,106k,105k,113k,122k,122k,124k,133k,132k,150k,181k,204k,220k,223k,227k,255k,281k,216k,244k,266k,298k,308k,317k,340k,344k,347k,377k,418k,447k,429k,508k,527k,412k,367k,507k,561k,585k,615k
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,704,711,550,609,675,638,627,708,,,,,,,,,,,,1950,1860,2080,2020,2410,2680,2990,2700,3030,3360,3730,4380,4830,5200,5720,6020,6140,7690,8320,9010,9980,11k,13.1k,14.4k,15.9k,16.2k,18.1k,18.5k,21.4k,23.8k,27.3k,26.3k,25.7k,27.1k,31.2k,34.5k,34.7k,36.3k,36.7k,38.4k,43.2k,47.2k,38.2k,41.1k,40.4k,41.6k,44.5k,44k,43.8k,46k,44.2k,46k,46.8k,42.9k,39.8k,39.1k,43.7k,45.6k,44.9k,49.7k,55.6k,54.4k,57.7k,59k,58.9k,51.3k,52.5k,58.2k,57.5k,58.6k,58.7k,61.9k,66.7k,69.8k,73.6k,74.9k,78.8k,85.5k,88.5k,99.3k,104k,110k,121k,130k,144k,154k,151k,166k,172k,172k,187k,191k,195k,205k,217k,224k,231k,251k,263k,278k,282k,296k,313k,337k,348k,377k,386k,425k,455k,486k,526k,577k,617k,657k,699k,723k,765k,812k,880k,916k,934k,996k,1.03M,1.04M,1.05M,1.09M,1.15M,1.21M,1.29M,1.39M,1.55M,1.72M,1.7M,1.81M,1.98M,2M,2.2M,2.3M,2.37M,2.46M,2.66M
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,224,249,227,242,257,246,249,293,238,,,6690,6040,8100,6740,6490,10k,9560,9850,6430,9270,9490,9540,10.2k,10.4k,9970,11.5k,11.5k,8460,7020,7120,6360,6840,8200,8820,8450,8350,9740,10.5k,9630,9550,9100,11.7k,10.9k,9730,8970,12.3k,11.2k,12.4k,13.1k,13.5k,14.2k,13.7k,15.1k,16.4k,17.8k,18.5k,19.4k,22.5k,22.1k,22.9k,23.3k,22.1k,22.3k,23.6k,23.6k,27.4k,26.3k,26.1k,25.6k,25.7k,25.6k,26.8k,28.6k,30.3k,29.9k,30.1k,32.9k,33.6k,33.5k,33.7k,34.8k,35.8k,37.5k,38.8k,40.7k,42.4k,45.2k,47.6k,46.1k,45.7k,46.2k,48.2k,47.6k,47.7k,47.4k,42.1k,41.7k,38k,38.2k,37.2k,36.7k,38.5k,39.9k,38.8k,39k
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,3.67,0,0,0,0,136,253,854,1170,1400,2010,2800,3450,4320,5440,7260,9230,11.6k,13.5k,14.2k,15.1k,16.7k,17.7k,17k,18.5k,17.9k,20.1k,22.1k,23.5k,23.4k,25.6k,31.7k,31.8k,30.1k,27.2k,20.8k,29.6k,30.5k,41.7k,52.9k,60.3k,63.5k,78k,84.1k,0,6920,4100,3830,1050,15.8k,22.8k,21.8k,25.3k,25.6k,37.4k,36.5k,37.5k,41.3k,47.6k,53.8k,64.2k,67.9k,82.4k,83.1k,91.9k,102k,106k,130k,144k,139k,157k,164k,162k,164k,121k,113k,138k,149k,150k,160k,148k,159k,175k,190k,209k,226k,227k,236k,264k,271k,274k,267k,306k,380k,370k,395k,398k,414k,442k,464k,504k,514k,535k,547k,564k,580k,601k,609k,642k,641k,654k,687k,721k
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,139,290,370,370,367,374,352,2870,5730,5800,6250,5920,12.2k,7700,4810,7970,11k,12.8k,14.1k,14.4k,14.4k,0,1130,1650,2430,1960,2530,3050,4100,6400,5980,6670,7320,8260,8720,9030,9390,9070,19.3k,27.7k,18.4k,19.7k,22.6k,23.9k,28.9k,29.5k,30.6k,30.9k,33.1k,48.8k,43.7k,42.2k,52.9k,45.4k,31.9k,30.4k,38.5k,39.8k,44.2k,47.3k,52.2k,67.2k,72.3k,49.1k,45.2k,58.9k,63.2k,71.1k,74.1k,69.3k,68.1k,72.2k,71.7k,71.8k,84.6k,86.4k,90.9k,114k,113k,98.3k,61.5k,92.2k,104k,111k,135k,153k,164k,165k,166k,189k,188k,204k
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18.3,,,33,25.7,,18.3,18.3,14.7,11,3.67,3.67,3.67,741,645,777,917,781,913,950,964,1090,1240,1210,1090,1200,1310,1310,1400,1500,1440,1590,1260,1390,1470,1480,1750,1740,1610,1700,1900,1920,1980,1860,1750,1590,1540,1810,1620,1780,1840,1840,1900,2240,2120,2260,2420,2360,2470,2520,2620,2640,2840,2940,2870,2990,2980,3100,2970,3150,3500,3800,3730,3620,3490,3490,3480,3460,3540,3490,3620,3630
